ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12774391,2019 Mazda CX-5 GT (4X4) MY19 (KF Series 2),42990,Mazda,CX-5,GT (4X4),MY19 (KF Series 2),2019,60743,Wagon,Automatic,Unleaded Petrol, Used,2488,Red,5
12787553,2008 Mercedes-Benz A200 Elegance W169 08 Upgrade,7650,Mercedes-Benz,A200,Elegance,W169 08 Upgrade,2008,217401,Hatchback,Automatic,Premium Unleaded Petrol, Used,2034,Black,5
12750595,2005 Toyota Avalon GXI MCX10R,9995,Toyota,Avalon,GXI,MCX10R,2005,228460,Sedan,Automatic,Unleaded Petrol, Used,2995,Gold,5
12834753,2018 Toyota Hiace LWB KDH201R MY16,42990,Toyota,Hiace,LWB,KDH201R MY16,2018,79742,Van,Automatic,Diesel, Used,2982,White,2
12744880,2017 Holden Colorado LS (4X4) RG MY17,41990,Holden,Colorado,LS (4X4),RG MY17,2017,58955,Crew Cab Pickup,Automatic,Diesel, Used,2776,White,5
12831425,2022 Renault Captur Intens XJB MY22,41990,Renault,Captur,Intens,XJB MY22,2022,10,Wagon,Automatic,Premium Unleaded Petrol, New In Stock,1332,Grey,4
12844184,2019 Audi S5 3.0 Tfsi Tiptronic F5 MY19,92850,Audi,S5,3.0 Tfsi Tiptronic,F5 MY19,2019,18744,Sportback,Automatic,Premium Unleaded Petrol, Used,2995,Black,4
12822754,2021 Toyota Corolla Ascent Sport + TR KIT Mzea12R,33990,Toyota,Corolla,Ascent Sport + TR KIT,Mzea12R,2021,27429,Hatchback,Automatic,Unleaded Petrol, Used,1987,White,5
12849160,2013 Suzuki Alto GL GF MY12,7990,Suzuki,Alto,GL,GF MY12,2013,102035,Hatchback,Manual,Premium Unleaded Petrol, Used,996,Grey,4
12841513,2016 Isuzu MU-X LS-M (4X4) UC MY15.5,38350,Isuzu,MU-X,LS-M (4X4),UC MY15.5,2016,111289,Wagon,Automatic,Diesel, Used,2999,White,7
12848429,2015 Ford Ranger XL 3.2 (4X4) PX Mkii,29999,Ford,Ranger,XL 3.2 (4X4),PX Mkii,2015,245153,Crew Cab Chassis,Manual,Diesel, Used,3198,White,5
12837997,2015 Subaru Forester 2.0XT Premium MY15,28995,Subaru,Forester,2.0XT Premium,MY15,2015,135508,Wagon,Automatic,Premium Unleaded Petrol, Used,1998,White,5
12783767,2012 Subaru Impreza 2.0I-L (awd) MY12,11400,Subaru,Impreza,2.0I-L (awd),MY12,2012,88000,Sedan,Manual,Unleaded Petrol, Used,1995,ICE,5
12722338,2015 Audi A5 2.0 Tfsi Quattro 8T MY15,38500,Audi,A5,2.0 Tfsi Quattro,8T MY15,2015,74000,Coupe,Manual,Premium Unleaded Petrol, Used,1984,Blue,4
12719293,2019 Kia Sorento SLI (4X4) UM PE MY20,42888,Kia,Sorento,SLI (4X4),UM PE MY20,2019,56070,Wagon,Automatic,Diesel, Used,2199,Blue,7
12797934,2012 Holden Colorado LX (4X4) RG,18500,Holden,Colorado,LX (4X4),RG,2012,279000,Crew Cab Chassis,Manual,Diesel, Used,2776,White,5
12840200,2019 Mitsubishi Outlander ES 7 Seat (2WD) ZL MY19,29998,Mitsubishi,Outlander,ES 7 Seat (2WD),ZL MY19,2019,58981,Wagon,Automatic,Unleaded Petrol, Used,2360,Silver,7
12754562,2021 Mazda BT-50 GT (4X4) B30B,62450,Mazda,BT-50,GT (4X4),B30B,2021,22614,Dual Cab Pick-up,Automatic,Diesel, Used,2999,Silver,5
12699880,2022 Ford Mustang GT 5.0 V8 FN MY22.25,89880,Ford,Mustang,GT 5.0 V8,FN MY22.25,2022,1981,Fastback,Automatic,Premium Unleaded Petrol, Used,4950,Black,4
12786874,2021 Toyota Yaris SX Hybrid Mxph10R,36990,Toyota,Yaris,SX Hybrid,Mxph10R,2021,5492,Hatchback,Automatic,Unleaded Petrol/Electric, Used,1490,Red,5
12745485,2012 Nissan Patrol ST (4X4) GU Viii,34999,Nissan,Patrol,ST (4X4),GU Viii,2012,161150,Wagon,Manual,Diesel, Used,2953,Gold,7
12744183,2011 Nissan Micra ST-L K13,8300,Nissan,Micra,ST-L,K13,2011,157000,Hatchback,Manual,Unleaded Petrol, Used,1498,Blue,5
12841983,2016 Ford Mustang GT 5.0 V8 FM,55000,Ford,Mustang,GT 5.0 V8,FM,2016,73000,Convertible,Automatic,Premium Unleaded Petrol, Used,4950,Red,4
12730484,2016 Hyundai Accent Active RB4 MY17,19000,Hyundai,Accent,Active,RB4 MY17,2016,9823,Hatchback,Automatic,Unleaded Petrol, Used,1368,White,5
12700661,2012 Nissan Navara ST 25TH Anniversary LE (4X4) D40 MY12,28990,Nissan,Navara,ST 25TH Anniversary LE (4X4),D40 MY12,2012,132645,Dual Cab Pick-up,Manual,Diesel, Used,2488,Grey,5
12785341,2016 Toyota Hilux SR5 (4X4) GUN126R,49995,Toyota,Hilux,SR5 (4X4),GUN126R,2016,127877,Dual Cab Utility,Automatic,Diesel, Used,2753,Red,5
