ID,Name,Price,Brand,Model,Variant,Series,Year,Kilometers,Type,Gearbox,Fuel,Status,CC,Color,Seating Capacity
12702544,2020 BMW X7 Xdrive30D G07,136990,BMW,X7,Xdrive30D,G07,2020,37871,Wagon,Automatic,Diesel, Used,2993,White,7
12702761,2022 Volkswagen Touareg 210TDI Elegance CR MY22,113878,Volkswagen,Touareg,210TDI Elegance,CR MY22,2022,11111,Wagon,Automatic,Diesel, Used,2967,Black,5
12703659,2022 Mercedes-Benz GLC 300 4Matic X253 MY22,98868,Mercedes-Benz,GLC,300 4Matic,X253 MY22,2022,7735,Wagon,Automatic,Premium Unleaded Petrol, Used,1991,Grey,5
12703694,2022 BMW X5 Xdrive30D G05,149990,BMW,X5,Xdrive30D,G05,2022,1587,Wagon,Automatic,Diesel, Demo,2993,Black,5
12704105,2021 Chevrolet Silverado 1500 LTZ Premium Tech Pack MY21,129990,Chevrolet,Silverado,1500 LTZ Premium Tech Pack,MY21,2021,27406,Crew Cab Utility,Automatic,Unleaded Petrol, Used,6162,Blue,5
12705465,2021 Toyota Landcruiser LC200 VX (4X4) VDJ200R,162500,Toyota,Landcruiser,LC200 VX (4X4),VDJ200R,2021,24970,Wagon,Automatic,Diesel, Used,4461,Glacier,7
12705968,2016 HSV Clubsport R8 LSA GEN F2,120960,HSV,Clubsport,R8 LSA,GEN F2,2016,23250,Sedan,Manual,Premium Unleaded Petrol, Used,6200,Red,5
12705970,2021 Land Rover Range Rover Sport DI6 HSE Dynamic (221KW) L494 MY21.5,173980,Land Rover,Range Rover Sport,DI6 HSE Dynamic (221KW),L494 MY21.5,2021,44150,Wagon,Automatic,Diesel/Electric, Used,2997,Red,5
12706711,2022 Toyota Landcruiser 70 Series GXL Troop Carrier VDJ78R,117999,Toyota,Landcruiser 70 Series,GXL Troop Carrier,VDJ78R,2022,3393,Wagon,Manual,Diesel, Used,4461,Gold,5
12706755,2022 BMW X7 Xdrive30D G07,152900,BMW,X7,Xdrive30D,G07,2022,18000,Wagon,Automatic,Diesel, Used,2993,White,7
12707862,2022 Mercedes-Benz GLC 300 4Matic X253 MY22,104868,Mercedes-Benz,GLC,300 4Matic,X253 MY22,2022,7304,Wagon,Automatic,Premium Unleaded Petrol, Used,1991,Grey,5
12708593,2021 Mercedes-Benz GLC43 4Matic X253 MY21,126990,Mercedes-Benz,GLC43,4Matic,X253 MY21,2021,9112,Wagon,Automatic,Premium Unleaded Petrol, Used,2996,Grey,5
12708612,2016 Mercedes-Benz GLE63 S 166,119990,Mercedes-Benz,GLE63,S,166,2016,48375,Wagon,Automatic,Premium Unleaded Petrol, Used,5461,Black,5
12708634,2021 Mercedes-Benz GLA45 S 4Matic+ H247 MY21.5,109990,Mercedes-Benz,GLA45,S 4Matic+,H247 MY21.5,2021,21192,Wagon,Automatic,Premium Unleaded Petrol, Used,1991,Blue,5
12708639,2019 BMW X5 M50D G05,126310,BMW,X5,M50D,G05,2019,73250,Wagon,Automatic,Diesel, Used,2993,White,5
12708727,2016 Porsche Cayman GTS 981 MY16,152000,Porsche,Cayman,GTS,981 MY16,2016,14986,Coupe,Automatic,Premium Unleaded Petrol, Used,3436,white,2
12708742,2021 Toyota Landcruiser 70 Series GXL VDJ79R,122990,Toyota,Landcruiser 70 Series,GXL,VDJ79R,2021,117,Double Cab Chassis,Manual,Diesel, Used,4461,Grey,5
12708756,2020 BMW X5 Xdrive 30D G05,107800,BMW,X5,Xdrive 30D,G05,2020,30669,Wagon,Automatic,Diesel, Used,2993,Black,5
12709054,2022 BMW X5 Xdrive30D G05,139880,BMW,X5,Xdrive30D,G05,2022,1567,Wagon,Automatic,Diesel, Demo,2993,Black,5
12709107,2022 Audi Q7 50 TDI Quattro S Line Mhev 4M MY22,145990,Audi,Q7,50 TDI Quattro S Line Mhev,4M MY22,2022,10000,Wagon,Automatic,Diesel/Electric, Used,2967,White,7
12709718,2019 Ram 1500 Laramie (4X4) FD3.2 MY19,98000,Ram,1500,Laramie (4X4) FD3.2,MY19,2019,80000,Crew Cab Utility,Automatic,Unleaded Petrol, Used,5654,Patriot,5
12710449,2017 Porsche Cayenne GTS Series 2 MY16,104888,Porsche,Cayenne,GTS,Series 2 MY16,2017,70159,Wagon,Automatic,Premium Unleaded Petrol, Used,3604,Blue,5
12712141,2021 Porsche Macan S 95B MY21,124990,Porsche,Macan,S,95B MY21,2021,33776,Wagon,Automatic,Premium Unleaded Petrol, Used,2995,Black,5
12712142,2019 Lamborghini Urus 4 Seat 636 MY19,449900,Lamborghini,Urus,4 Seat,636 MY19,2019,14922,Wagon,Automatic,Premium Unleaded Petrol, Used,3996,Blue,4
12712828,2022 Volkswagen Multivan TDI450 SWB Highline T6.1 MY22,107888,Volkswagen,Multivan,TDI450 SWB Highline,T6.1 MY22,2022,2085,Wagon,Automatic,Diesel, Demo,1968,Black,7
12713905,2022 Toyota Landcruiser LC300 Sahara (4X4) FJA300R,168888,Toyota,Landcruiser,LC300 Sahara (4X4),FJA300R,2022,31,Wagon,Automatic,Diesel, Used,3346,Black,7
12714058,2022 Volkswagen Touareg 210TDI Elegance CR MY22,128990,Volkswagen,Touareg,210TDI Elegance,CR MY22,2022,5,Wagon,Automatic,Diesel, New In Stock,2967,White,5
12714059,2022 Volkswagen Touareg 210TDI Elegance CR MY22,133990,Volkswagen,Touareg,210TDI Elegance,CR MY22,2022,5,Wagon,Automatic,Diesel, New In Stock,2967,Black,5
12714130,2021 Land Rover Defender 90 D300 SE (220KW) L663 MY21,124990,Land Rover,Defender,90 D300 SE (220KW),L663 MY21,2021,19735,Wagon,Automatic,Diesel, Used,2996,Gold,5
12714161,2022 Toyota Landcruiser LC300 VX (4X4) FJA300R,136995,Toyota,Landcruiser,LC300 VX (4X4),FJA300R,2022,122,Wagon,Automatic,Diesel, Used,3346,White,7
12714223,2014 Mercedes-Benz SLK55 AMG R172 MY14,119990,Mercedes-Benz,SLK55,AMG,R172 MY14,2014,9930,Convertible,Automatic,Premium Unleaded Petrol, Used,5461,Black,2
12714369,2016 Mercedes-Benz C63 S Edition 1 205 MY16,94800,Mercedes-Benz,C63,S Edition 1,205 MY16,2016,102000,Wagon,Automatic,Premium Unleaded Petrol, Used,3982,White,5
